id,name,phone,street,city,county,zip,address,practice_areas,website,lat,lng,source_url,notes,action
"l-0178","Estate Law of Florida, P.A.","(954) 951-7274","6810 N State Rd 7, Suite 116","Coconut Creek","Broward","33073","6810 N State Rd 7, Suite 116, Coconut Creek, FL 33073","Business Law; Civil Litigation; Estate Planning","https://elflorida.com/","26.2855839","-80.2018545","https://elflorida.com/contact/","","insert"
"l-0179","Mark Mastrarrigo, P.A.","(954) 820-8535","5500 South Flamingo Road, Suite 205","Cooper City","Broward","33330","5500 South Flamingo Road, Suite 205, Cooper City, FL 33330","Civil Litigation; Estate Planning; Real Estate Law","https://markmlegal.com/","26.05208839319627","-80.31338418475778","https://markmlegal.com/contact","","insert"
"l-0180","360 Immigration Law Group","(954) 667-3660","10100 West Sample Road Suite 106","Coral Springs","Broward","33065","10100 West Sample Road Suite 106, Coral Springs, FL 33065","Immigration","https://360immigrationlaw.com/","26.272363","-80.260585","https://360immigrationlaw.com/contact/","","insert"
"l-0181","Donald R. Walters, P.A.","(954) 840-0494","7401 Wiles Road Suite 250","Coral Springs","Broward","33067","7401 Wiles Road Suite 250, Coral Springs, FL 33067","Real Estate Law","https://dwalterslaw.com/","26.28646726203097","-80.22520414981756","https://dwalterslaw.com/contact/","","insert"
"l-0182","Guerra Saenz, PL","(954) 434-5800","3111 N University Dr Suite 429","Coral Springs","Broward","33065","3111 N University Dr Suite 429, Coral Springs, FL 33065","Immigration","https://www.guerralegal.com/","26.2689228","-80.2493234","https://www.guerralegal.com/","","insert"
"l-0183","Law Office of Brian P. Kowal, P.A.","(954) 990-7552","7351 Wiles Rd. Suite 103","Coral Springs","Broward","33067","7351 Wiles Rd. Suite 103, Coral Springs, FL 33067","Business Law; Civil Litigation; Real Estate Law","https://briankowallaw.com/","26.28645582770556","-80.22461438527802","https://briankowallaw.com/contact/","","insert"
"l-0184","Law Office of Gary M. Landau","(954) 979-6566","7401 Wiles Road, Suite 204","Coral Springs","Broward","33067","7401 Wiles Road, Suite 204, Coral Springs, FL 33067","Estate Planning; Real Estate Law","https://garylandau.com/","26.28646726203097","-80.22520414981756","https://garylandau.com/contact/","","insert"
"l-0185","Law Offices of Gary I. Handin, P.A.","(954) 796-9600","3111 N. University Drive, Suite 605","Coral Springs","Broward","33065","3111 N. University Drive, Suite 605, Coral Springs, FL 33065","Business Law; Estate Planning; Real Estate Law","https://www.handinlaw.com/","26.2689228","-80.2493234","https://www.handinlaw.com/contact-us/","","insert"
"l-0186","Law Offices of Reinfeld & Cabrera, P.A.","(954) 334-1520","9625 W Sample Rd Suite A","Coral Springs","Broward","33065","9625 W Sample Rd Suite A, Coral Springs, FL 33065","Estate Planning; Real Estate Law","https://mypersonalattorneys.com/","26.272593198306808","-80.25466772573586","https://mypersonalattorneys.com/contact-us/","","insert"
"l-0187","Law Offices of Ronald A. Luzim, P.A.","(954) 755-1500","5531 N. University Drive, Suite 101","Coral Springs","Broward","33067","5531 N. University Drive, Suite 101, Coral Springs, FL 33067","Business Law; Civil Litigation; Estate Planning; Family Law; Real Estate Law","https://www.broward-lawyer.com/","26.297446432460248","-80.24999267448497","https://www.broward-lawyer.com/contact-us/","","insert"
"l-0188","Matthew Fornaro, P.A.","(954) 324-3651","11555 Heron Bay Boulevard, Suite 200","Coral Springs","Broward","33076","11555 Heron Bay Boulevard, Suite 200, Coral Springs, FL 33076","Business Law; Civil Litigation; Real Estate Law","https://fornarolegal.com/","26.30932347467778","-80.29592436866945","https://fornarolegal.com/contact/","","insert"
"l-0189","Michael A. Trinkler, P.A.","(954) 753-5700","5501 University Drive, Suite 101","Coral Springs","Broward","33067","5501 University Drive, Suite 101, Coral Springs, FL 33067","Real Estate Law","https://www.trinklerlaw.com/","26.297158087056967","-80.24988374399929","https://www.trinklerlaw.com/","","insert"
"l-0190","Rader Law Group, LLC","(954) 913-2273","3111 North University Drive Suite 705","Coral Springs","Broward","33065","3111 North University Drive Suite 705, Coral Springs, FL 33065","Civil Litigation; Personal Injury","https://raderlawgroup.com/","26.2689228","-80.2493234","https://raderlawgroup.com/contact/","","insert"
"l-0191","Storrings Law","(954) 302-7148","3200 N University Dr Suite 203","Coral Springs","Broward","33065","3200 N University Dr Suite 203, Coral Springs, FL 33065","Business Law; Civil Litigation; Real Estate Law","https://www.storringslaw.com/","26.269517","-80.250277","https://www.storringslaw.com/contact/","","insert"
"l-0192","The Andres Lopez Law Firm, P.A.","(954) 237-5100","7351 Wiles Rd #101","Coral Springs","Broward","33067","7351 Wiles Rd #101, Coral Springs, FL 33067","Immigration; Personal Injury","https://www.alopezlawfirm.com/","26.28645582770556","-80.22461438527802","https://www.alopezlawfirm.com/contact/","","insert"
"l-0193","Andrea L. Jakob, PA","(954) 862-1479","12401 Orange Drive, Suite 219","Davie","Broward","33330","12401 Orange Drive, Suite 219, Davie, FL 33330","Business Law; Estate Planning","https://jakoblegal.com/","26.06420692857143","-80.31405678571429","https://jakoblegal.com/contact/","","insert"
"l-0194","Law Office of Vincent J. Owoc","(954) 680-8000","5600 Davie Rd","Davie","Broward","33314","5600 Davie Rd, Davie, FL 33314","Estate Planning; Real Estate Law","https://www.probatelawyerfortlauderdale.com/","26.051785","-80.231589","https://www.probatelawyerfortlauderdale.com/contact-us","","insert"
